file_name|line_number|columna_unica
02833e39-3d26-417a-a2d1-52f3b80df264|1|AFIO DE LA RECUPERACION Y CONSOLIDACION DE LA ECONOMIA PERUANA
02833e39-3d26-417a-a2d1-52f3b80df264|2|CONTRATO N O41 2025 G R PASCO GGR
02833e39-3d26-417a-a2d1-52f3b80df264|3|ADJUDICACION SIMPLIFICADA N 45 2024 CS GRP 2
02833e39-3d26-417a-a2d1-52f3b80df264|4|SEGUNDA CONVOCATORIA
02833e39-3d26-417a-a2d1-52f3b80df264|5|CONTRATO DE CONSULTORIA DE OBRA PARA LA SUPERVISION DE LA EJECUCION DE LA OBRA
02833e39-3d26-417a-a2d1-52f3b80df264|6|MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL DE LAS PRINCIPALES CALLES
02833e39-3d26-417a-a2d1-52f3b80df264|7|DEL CENTRO POBLADO SAN PEDRO DE CARHUAC DEL DISTRITO DE NINACACA PROVINCIA DE PASCO DEPARTAMENTO DE PASCO CUI N 2459035
02833e39-3d26-417a-a2d1-52f3b80df264|8|CONSTE POR EL PRESENTE DOCUMENTO CONTRATO DE SERVICIO DE CONSULTORIA DE OBRA QUE CELEBRA DE UNA PARTE EL GOBIERNO
02833e39-3d26-417a-a2d1-52f3b80df264|9|REGIONAL DE PASCO CON RUC N 20489252270 DEBIDAMENTE REPRESENTADO POR LA MAG YANET SOLEDA CUELLAR
02833e39-3d26-417a-a2d1-52f3b80df264|10|CHAVEZ IDENTIFICADA CON DNI N 04081705 EN SU CONDICION DE GERENTE GENERAL REGIONAL Y EN MERITO A LA DELEGACION DE
02833e39-3d26-417a-a2d1-52f3b80df264|11|FACULTADES AUTORIZADA PARA SUSCRIBIR CONTRATOS CONFORME A LA RESOLUCI N EJECUTIVA REGIONAL N 049 2023 G R P GOB CON
02833e39-3d26-417a-a2d1-52f3b80df264|12|DOMICILIO LEGAL EN EL EDIFICIO ESTATAL N 01 SAN JUAN PAMPA DISTRITO DE YANACANCHA PROVINCIA DE PASCO DEPARTAMENTO
02833e39-3d26-417a-a2d1-52f3b80df264|13|DE PASCO A QUIEN EN ADELANTE SE LE DENOMINARA LA ENTIDAD Y DE OTRA PARTE EL CONSORCIO SUPERVISOR
02833e39-3d26-417a-a2d1-52f3b80df264|14|ESPERANZA INTEGRADO POR YABAR BECERRA WALTER IDENTIFICADO CON DNI N 23848430 CON RUC N 10238484303
02833e39-3d26-417a-a2d1-52f3b80df264|15|CON DOMICILIO LEGAL EN EL AV EL MINERO 351 URB SAN JUAN DISTRITO DE YANACANCHA PROVINCIA DE PASCO DEPARTAMENTO DE
02833e39-3d26-417a-a2d1-52f3b80df264|16|PASCO CON UNA PARTICIPACION Y RESPONSABILIDAD DEL 50 Y VILLANUEVA TEMPLADERA DENYS ANTONIO IDENTIFICADO CON
02833e39-3d26-417a-a2d1-52f3b80df264|17|DNI N 44649653 CON RUC N 10446496536 CON DOMICILIO LEGAL EN BARRIO AGOCHINCHAN S N DEL DISTRITO DE HUACHON
02833e39-3d26-417a-a2d1-52f3b80df264|18|PROVINCIA DE PASCO DEPARTAMENTO DE PASCO CON UNA PARTICIPACION Y RESPONSABILIDAD DE 50 DESIGNANDO PARA LOS EFECTOS
02833e39-3d26-417a-a2d1-52f3b80df264|19|DEL PRESENTE CONTRATO COMO REPRESENTANTE COMUN A MORALES CERNA LISSETH MAYRA IDENTIFICADA CON DNI N 72271 128
02833e39-3d26-417a-a2d1-52f3b80df264|20|CON DOMICILIO COMUN EN URB HUAYOPAMPA MZ N LT 03 DEL DISTRITO DE AMARILIS PROVINCLA DE HUANUCO DEPARTAMENTO DE
02833e39-3d26-417a-a2d1-52f3b80df264|21|HUANUCO Y CORREO ELECTRONICO LISSETHMAYRA2430 GMAIL COM A QUIEN EN ADELANTE SE LE DENOMINARA EL CONTRATISTA EN
02833e39-3d26-417a-a2d1-52f3b80df264|22|LOS TERMINOS Y CONDICIONES SIGUIENTES
02833e39-3d26-417a-a2d1-52f3b80df264|23|BASE LEGAL
02833e39-3d26-417a-a2d1-52f3b80df264|24|CONSTITUCION POLITICA DEL PERA
02833e39-3d26-417a-a2d1-52f3b80df264|25|LEY N 27867 LEY ORGANICA DE GOBIERNO REGIONALES
02833e39-3d26-417a-a2d1-52f3b80df264|26|LEY N 27783 LEY DE BASES DE LA DESCENTRALIZACION
02833e39-3d26-417a-a2d1-52f3b80df264|27|LEY N 32185 LEY DE PRESUPUESTO DE SECTOR PUBLICO PARA EL AFIO FISCAL 2025
02833e39-3d26-417a-a2d1-52f3b80df264|28|LEY N 31953 LEY DE PRESUPUESTO DEL SECTOR PUBLICO PARA EL AFIO FISCAL 2024
02833e39-3d26-417a-a2d1-52f3b80df264|29|LEY N 32186 LEY DE EQUILIBRIO FINANCIERO DEL PRESUPUESTO DEL SECTOR PUBLICO DEL AFIO FISCAL 2025
02833e39-3d26-417a-a2d1-52f3b80df264|30|DECRETO SUPREMO N 082 2019 EF TEXTO UNICO ORDENADO DE LA LEY N 30225 LEY DE CONTRATACIONES DEL ESTADO Y
